Workers that got updated:,,,,
,,,,
A10283W49EB612,92.13%(+0.21%),808(+34),877(+35),https://requester.mturk.com/workers/A10283W49EB612
A3QZMGTVA4VO44,92.18%(-0.28%),1462(+16),1586(+22),https://requester.mturk.com/workers/A3QZMGTVA4VO44
A2RCYLKY072XXO,98.84%(-0.08%),1103(+5),1116(+6),https://requester.mturk.com/workers/A2RCYLKY072XXO
A1DXFMUVK5015A,96.82%(-0.05%),2220(+26),2293(+28),https://requester.mturk.com/workers/A1DXFMUVK5015A
A28PBIZ3X36QIQ,90.82%(+0.15%),999(+18),1100(+18),https://requester.mturk.com/workers/A28PBIZ3X36QIQ
A28URN0B675OIE,94.25%(-0.05%),689(+11),731(+12),https://requester.mturk.com/workers/A28URN0B675OIE
A10CLUSRQDKJBH,96.4%(+0.02%),3851(+22),3995(+22),https://requester.mturk.com/workers/A10CLUSRQDKJBH
ALDHDBRTUI1NI,92.34%(+0.17%),434(+10),470(+10),https://requester.mturk.com/workers/ALDHDBRTUI1NI
A18HC62T1SROBJ,91.86%(+0.15%),553(+11),602(+11),https://requester.mturk.com/workers/A18HC62T1SROBJ
ABS83QIWSMZ9,93.1%(+0.01%),459(+1),493(+1),https://requester.mturk.com/workers/ABS83QIWSMZ9
,,,,
New workers:,,,,
